date,entry,gap,bias,confidence,regime,strategy,pnl,capital
2024-01-01,21741.900390625,0,NEUTRAL,20.0,1,IRON CONDOR,5660.0,105660.0
2024-01-02,21665.80078125,0,NEUTRAL,15.0,1,IRON CONDOR,5735.0,111395.0
2024-01-03,21467.349609375,-50,NEUTRAL,15.0,1,IRON CONDOR,2240.0,113635.0
2024-01-04,21658.599609375,0,NEUTRAL,0.0,1,IRON CONDOR,2180.0,115815.0
2024-01-05,21660.80078125,-50,NEUTRAL,0.0,1,IRON CONDOR,2120.0,117935.0
2024-01-08,21513.0,0,NEUTRAL,15.0,1,IRON CONDOR,-10030.000000000002,107905.0
2024-01-09,21544.849609375,0,NEUTRAL,0.0,1,IRON CONDOR,-10030.000000000002,97875.0
2024-01-10,21668.69921875,50,NEUTRAL,15.0,1,IRON CONDOR,-9895.0,87980.0
2024-01-11,21697.19921875,50,NEUTRAL,0.0,1,IRON CONDOR,-9895.0,78085.0
2024-01-12,21894.55078125,0,NEUTRAL,0.0,1,IRON CONDOR,-9895.0,68190.0
2024-01-15,21947.44921875,-150,BEARISH,33.0,1,BEAR CALL SPREAD,2210.0,70400.0
2024-01-16,22032.30078125,0,NEUTRAL,0.0,1,IRON CONDOR,-10030.000000000002,60370.0
2024-01-17,21621.94921875,50,NEUTRAL,25.0,0,IRON CONDOR,-10570.0,49800.0
2024-01-18,21462.25,0,NEUTRAL,5.0,0,IRON CONDOR,-10165.0,39635.0
2024-01-19,21772.400390625,150,BULLISH,38.0,0,BULL PUT SPREAD,-10165.0,29470.0
2024-01-23,21238.80078125,0,NEUTRAL,5.0,0,IRON CONDOR,-10435.0,19035.0
2024-01-24,21503.94921875,50,NEUTRAL,10.0,0,IRON CONDOR,-10300.0,8735.0
2024-01-25,21352.599609375,0,NEUTRAL,5.0,0,IRON CONDOR,-10165.0,-1430.0
2024-01-29,21687.599609375,-50,NEUTRAL,5.0,0,IRON CONDOR,-10705.000000000002,-12135.000000000002
2024-01-30,21522.099609375,0,NEUTRAL,10.0,0,IRON CONDOR,-10840.0,-22975.0
2024-01-31,21725.69921875,0,NEUTRAL,25.0,0,IRON CONDOR,-10840.0,-33815.0
2024-02-01,21547.44921875,-150,NEUTRAL,28.0,0,IRON CONDOR,-10300.0,-44115.0
2024-02-02,21853.80078125,0,NEUTRAL,5.0,0,IRON CONDOR,5735.0,-38380.0
2024-02-05,21771.69921875,0,NEUTRAL,10.0,0,IRON CONDOR,2330.0,-36050.0
2024-02-06,21929.400390625,0,NEUTRAL,10.0,0,IRON CONDOR,-10705.000000000002,-46755.0
2024-02-07,21930.5,0,NEUTRAL,25.0,0,IRON CONDOR,-10705.000000000002,-57460.0
2024-02-08,21817.94921875,100,NEUTRAL,10.0,0,IRON CONDOR,5885.0,-51575.0
2024-02-09,21632.5,-150,NEUTRAL,28.0,0,IRON CONDOR,-10570.0,-62145.0
2024-02-12,21666.05078125,50,NEUTRAL,10.0,0,IRON CONDOR,-10840.0,-72985.0
2024-02-13,21743.25,0,NEUTRAL,25.0,0,IRON CONDOR,-10705.000000000002,-83690.0
