Year-Month,P&L,Trades,Wins,Capital,Winrate
2017-09,27275.0,4,4,127275.0,100.0
2017-10,55360.0,20,10,182635.0,50.0
2017-11,76265.0,22,12,258900.0,54.5
2017-12,41785.0,20,10,300685.0,50.0
2018-01,106785.0,21,13,407470.0,61.9
2018-02,176540.0,19,17,584010.0,89.5
2018-03,154340.0,19,16,738350.0,84.2
2018-04,1365.0,21,9,739715.0,42.9
2018-05,83705.0,22,13,823420.0,59.1
2018-06,5550.0,21,8,828970.0,38.1
2018-07,56945.0,22,10,885915.0,45.5
2018-08,48285.0,21,9,934200.0,42.9
2018-09,159480.0,18,16,1093680.0,88.9
2018-10,165285.0,21,21,1258965.0,100.0
2018-11,117745.0,20,16,1376710.0,80.0
2018-12,174550.0,20,18,1551260.0,90.0
2019-01,80090.0,22,12,1631350.0,54.5
2019-02,87500.0,19,12,1718850.0,63.2
2019-03,147555.0,18,15,1866405.0,83.3
2019-04,66965.0,19,9,1933370.0,47.4
2019-05,214505.0,22,20,2147875.0,90.9
2019-06,96620.0,19,14,2244495.0,73.7
2019-07,144880.0,23,17,2389375.0,73.9
2019-08,154210.0,20,19,2543585.0,95.0
2019-09,128180.0,19,18,2671765.0,94.7
2019-10,74885.0,19,17,2746650.0,89.5
2019-11,-10475.0,20,5,2736175.0,25.0
2019-12,37980.0,21,9,2774155.0,42.9
2020-01,97945.0,23,14,2872100.0,60.9
2020-02,140015.0,19,15,3012115.0,78.9
2020-03,218325.0,21,19,3230440.0,90.5
2020-04,104475.0,18,13,3334915.0,72.2
2020-05,39470.0,19,13,3374385.0,68.4
2020-06,102080.0,22,18,3476465.0,81.8
2020-07,143470.0,23,20,3619935.0,87.0
2020-08,130845.0,21,17,3750780.0,81.0
2020-09,195845.0,22,18,3946625.0,81.8
2020-10,156840.0,21,20,4103465.0,95.2
2020-11,92570.0,19,16,4196035.0,84.2
2020-12,147680.0,22,18,4343715.0,81.8
2021-01,138655.0,20,19,4482370.0,95.0
2021-02,68395.0,20,17,4550765.0,85.0
2021-03,65490.0,21,16,4616255.0,76.2
2021-04,102455.0,19,16,4718710.0,84.2
2021-05,106690.0,20,18,4825400.0,90.0
2021-06,39005.0,22,13,4864405.0,59.1
2021-07,92145.0,21,14,4956550.0,66.7
2021-08,68205.0,21,11,5024755.0,52.4
2021-09,94305.0,21,13,5119060.0,61.9
2021-10,148525.0,20,17,5267585.0,85.0
2021-11,131650.0,20,14,5399235.0,70.0
2021-12,202465.0,23,21,5601700.0,91.3
2022-01,176770.0,20,20,5778470.0,100.0
2022-02,200785.0,20,20,5979255.0,100.0
2022-03,144345.0,21,17,6123600.0,81.0
2022-04,185435.0,19,18,6309035.0,94.7
2022-05,155910.0,21,19,6464945.0,90.5
2022-06,97505.0,22,19,6562450.0,86.4
2022-07,101520.0,21,17,6663970.0,81.0
2022-08,100840.0,20,17,6764810.0,85.0
2022-09,205670.0,22,20,6970480.0,90.9
2022-10,125690.0,19,16,7096170.0,84.2
2022-11,75030.0,21,13,7171200.0,61.9
2022-12,67565.0,22,13,7238765.0,59.1
2023-01,94980.0,21,13,7333745.0,61.9
2023-02,89350.0,20,12,7423095.0,60.0
2023-03,109560.0,21,14,7532655.0,66.7
2023-04,42610.0,17,10,7575265.0,58.8
2023-05,-9130.0,22,6,7566135.0,27.3
2023-06,-6690.0,21,6,7559445.0,28.6
2023-07,15735.0,21,7,7575180.0,33.3
2023-08,17210.0,22,10,7592390.0,45.5
2023-09,80350.0,20,12,7672740.0,60.0
2023-10,43585.0,20,11,7716325.0,55.0
2023-11,87355.0,20,15,7803680.0,75.0
2023-12,29635.0,20,14,7833315.0,70.0
2024-01,159255.0,21,18,7992570.0,85.7
2024-02,121935.0,21,15,8114505.0,71.4
2024-03,99180.0,18,13,8213685.0,72.2
2024-04,73105.0,20,12,8286790.0,60.0
2024-05,249585.0,21,21,8536375.0,100.0
2024-06,-430.0,19,13,8535945.0,68.4
2024-07,68600.0,22,14,8604545.0,63.6
2024-08,24645.0,21,10,8629190.0,47.6
2024-09,133440.0,21,17,8762630.0,81.0
2024-10,104450.0,22,14,8867080.0,63.6
2024-11,148025.0,19,16,9015105.0,84.2
2024-12,122265.0,21,17,9137370.0,81.0
2025-01,154405.0,23,17,9291775.0,73.9
2025-02,122050.0,20,15,9413825.0,75.0
2025-03,86330.0,19,15,9500155.0,78.9
2025-04,81920.0,19,16,9582075.0,84.2
2025-05,30645.0,21,12,9612720.0,57.1
2025-06,94710.0,21,14,9707430.0,66.7
2025-07,-6470.0,23,6,9700960.0,26.1
2025-08,54095.0,19,10,9755055.0,52.6
2025-09,59240.0,22,12,9814295.0,54.5
2025-10,26070.0,21,8,9840365.0,38.1
2025-11,13235.0,19,8,9853600.0,42.1
2025-12,-6670.0,22,6,9846930.0,27.3
2026-01,121015.0,20,16,9967945.0,80.0
